[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\utils\crypto.py first seen with mtime 1563653806.9810817
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1563653799.749541
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\email\mime\nonmultipart.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1563653807.616707
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\email\contentmanager.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1563653799.458441
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\template\response.py first seen with mtime 1563653805.5647545
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\wsgiref\__init__.py first seen with mtime 1545621406.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1563653820.7058728
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1563653799.7784865
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\nturl2path.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\AppData\Local\Programs\Python\Python37\Lib\configparser.py first seen with mtime 1545621404.0
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\pytz\tzfile.py first seen with mtime 1563653809.9574447
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\.virtualenvs\prepareICE-Qxq9WGOG\Lib\site-packages\django\utils\dates.py first seen with mtime 1563653807.0512714
[2019-07-20 19:36:35] DEBUG [django.utils.autoreload.tick:340] File C:\Users\tjisa\Desktop\prepareICE\practice\config\settings.py first seen with mtime 1563665784.7163494
